epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,2594.21,1.13251,6.24383,1.03065,0.72602,0.55537,0.64145,0.3046,1.68381,8.95262,1.19615,0.00125112,0.00125112,0.00125112
128,2611.98,1.12847,6.24225,1.02779,0.68522,0.58322,0.63597,0.29874,1.69986,9.10901,1.19942,0.00124782,0.00124782,0.00124782
129,2630.33,1.12301,5.97888,1.01364,0.69738,0.57818,0.63689,0.29625,1.73066,9.09814,1.2077,0.00124452,0.00124452,0.00124452
130,2647.46,1.12913,6.00967,1.01164,0.69898,0.59283,0.65778,0.30145,1.72179,9.07566,1.21752,0.00124121,0.00124121,0.00124121
131,2664.5,1.16978,6.02579,0.99698,0.69932,0.59935,0.65417,0.30626,1.6783,8.59376,1.18881,0.00123791,0.00123791,0.00123791
132,2681.67,1.14456,6.06422,1.02718,0.72477,0.58113,0.66365,0.30685,1.70586,8.43526,1.19058,0.00123461,0.00123461,0.00123461
133,2700.83,1.17557,6.1401,1.01672,0.70434,0.60915,0.6677,0.30941,1.7085,8.70972,1.18749,0.00123131,0.00123131,0.00123131
134,2718.48,1.06794,5.7382,0.98752,0.68963,0.56454,0.63113,0.29135,1.72203,8.70056,1.20604,0.00122801,0.00122801,0.00122801
135,2736.95,1.12056,5.9697,1.00954,0.72186,0.58753,0.65684,0.31058,1.69564,8.6255,1.19626,0.00122471,0.00122471,0.00122471
136,2756.21,1.16191,6.00726,1.01366,0.72116,0.59121,0.6565,0.30666,1.68872,8.65254,1.17594,0.00122141,0.00122141,0.00122141
137,2775.34,1.09155,5.79189,1.02144,0.72177,0.58632,0.65943,0.31035,1.68067,8.55038,1.17941,0.00121811,0.00121811,0.00121811
138,2794.76,1.10828,5.87926,1.02295,0.74489,0.59853,0.67396,0.31313,1.69463,8.68214,1.19073,0.00121481,0.00121481,0.00121481
139,2814.73,1.18653,6.35048,1.02181,0.75557,0.57655,0.64961,0.30214,1.70029,8.57967,1.19104,0.00121151,0.00121151,0.00121151
140,2832.43,1.06492,5.78726,1.0136,0.75039,0.56107,0.64399,0.29442,1.69961,8.51251,1.1853,0.00120821,0.00120821,0.00120821
141,2850.22,1.06857,5.80378,0.97489,0.72029,0.59555,0.66775,0.3038,1.68237,8.65379,1.18124,0.00120491,0.00120491,0.00120491
142,2867.7,1.07823,5.9167,1.00983,0.7317,0.58851,0.668,0.30125,1.69117,8.55351,1.18513,0.00120161,0.00120161,0.00120161
143,2884.86,1.04609,5.67357,1.00946,0.7198,0.59691,0.65901,0.30411,1.69748,8.57952,1.19354,0.00119831,0.00119831,0.00119831
144,2902.52,1.05411,5.79385,1.02298,0.72304,0.60586,0.67264,0.30779,1.68756,8.64652,1.18779,0.00119501,0.00119501,0.00119501
145,2921.16,1.05894,5.5959,0.99614,0.68326,0.62622,0.67463,0.31052,1.68303,8.72842,1.19694,0.0011917,0.0011917,0.0011917
146,2940.86,1.13945,5.91088,0.99227,0.73703,0.58658,0.67429,0.31414,1.67173,8.81523,1.17033,0.0011884,0.0011884,0.0011884
147,2959.75,1.05851,5.68556,0.97998,0.74933,0.5798,0.6735,0.31284,1.69927,8.8462,1.19558,0.0011851,0.0011851,0.0011851
148,2978.06,1.08609,5.80266,0.99609,0.68466,0.57463,0.63693,0.29115,1.70167,9.32561,1.18366,0.0011818,0.0011818,0.0011818
149,2995.31,1.09259,5.88935,1.01755,0.71053,0.57967,0.64871,0.30355,1.68733,8.78109,1.18734,0.0011785,0.0011785,0.0011785
